<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20230601,110000,162.9900000
GAZP,60,20230601,120000,162.9300000
GAZP,60,20230601,130000,162.3400000
GAZP,60,20230601,140000,162.2000000
GAZP,60,20230601,150000,162.1600000
GAZP,60,20230601,160000,162.2000000
GAZP,60,20230601,170000,161.6800000
GAZP,60,20230601,180000,162.0200000
GAZP,60,20230601,190000,162.2000000
GAZP,60,20230601,200000,162.0100000
GAZP,60,20230601,210000,161.8800000
GAZP,60,20230601,220000,161.6500000
GAZP,60,20230601,230000,161.6100000
GAZP,60,20230602,000000,161.5500000
GAZP,60,20230602,110000,161.6700000
GAZP,60,20230602,120000,162.2900000
GAZP,60,20230602,130000,161.9600000
GAZP,60,20230602,140000,162.7000000
GAZP,60,20230602,150000,162.5300000
GAZP,60,20230602,160000,162.5800000
GAZP,60,20230602,170000,163.1400000
GAZP,60,20230602,180000,162.9900000
GAZP,60,20230602,190000,163.2100000
GAZP,60,20230602,200000,162.7700000
GAZP,60,20230602,210000,162.3000000
GAZP,60,20230602,220000,162.4800000
GAZP,60,20230602,230000,162.6400000
GAZP,60,20230603,000000,162.5800000
GAZP,60,20230605,110000,162.4800000
GAZP,60,20230605,120000,164.3800000
GAZP,60,20230605,130000,164.1900000
GAZP,60,20230605,140000,164.3800000
GAZP,60,20230605,150000,163.1600000
GAZP,60,20230605,160000,163.2600000
GAZP,60,20230605,170000,162.8600000
GAZP,60,20230605,180000,162.5700000
GAZP,60,20230605,190000,162.7000000
GAZP,60,20230605,200000,162.4900000
GAZP,60,20230605,210000,162.1300000
GAZP,60,20230605,220000,162.4800000
GAZP,60,20230605,230000,162.1600000
GAZP,60,20230606,000000,162.4700000
GAZP,60,20230606,110000,162.8900000
GAZP,60,20230606,120000,163.4100000
GAZP,60,20230606,130000,162.9500000
GAZP,60,20230606,140000,162.4900000
GAZP,60,20230606,150000,163.0300000
GAZP,60,20230606,160000,163.1200000
GAZP,60,20230606,170000,163.2100000
GAZP,60,20230606,180000,162.9000000
GAZP,60,20230606,190000,162.5700000
GAZP,60,20230606,200000,163.0100000
GAZP,60,20230606,210000,163.0200000
GAZP,60,20230606,220000,162.9300000
GAZP,60,20230606,230000,163.0500000
GAZP,60,20230607,000000,163.1600000
GAZP,60,20230607,110000,164.1700000
GAZP,60,20230607,120000,164.9000000
GAZP,60,20230607,130000,165.0600000
GAZP,60,20230607,140000,165.6000000
GAZP,60,20230607,150000,165.1500000
GAZP,60,20230607,160000,165.5700000
GAZP,60,20230607,170000,165.3800000
GAZP,60,20230607,180000,164.4300000
GAZP,60,20230607,190000,164.4200000
GAZP,60,20230607,200000,164.7500000
GAZP,60,20230607,210000,164.5500000
GAZP,60,20230607,220000,164.7300000
GAZP,60,20230607,230000,164.6900000
GAZP,60,20230608,000000,164.6500000
GAZP,60,20230608,110000,165.0700000
GAZP,60,20230608,120000,165.4000000
GAZP,60,20230608,130000,166.3100000
GAZP,60,20230608,140000,165.8000000
GAZP,60,20230608,150000,166.0100000
GAZP,60,20230608,160000,165.8300000
GAZP,60,20230608,170000,166.3600000
GAZP,60,20230608,180000,166.3600000
GAZP,60,20230608,190000,166.6000000
GAZP,60,20230608,200000,166.2600000
GAZP,60,20230608,210000,166.4400000
GAZP,60,20230608,220000,166.2700000
GAZP,60,20230608,230000,166.2100000
GAZP,60,20230609,000000,166.1800000
GAZP,60,20230609,110000,167.1500000
GAZP,60,20230609,120000,167.0900000
GAZP,60,20230609,130000,166.5900000
GAZP,60,20230609,140000,167.0800000
GAZP,60,20230609,150000,166.9100000
GAZP,60,20230609,160000,167.1000000
GAZP,60,20230609,170000,166.2600000
GAZP,60,20230609,180000,165.8300000
GAZP,60,20230609,190000,165.4700000
GAZP,60,20230609,200000,165.2100000
GAZP,60,20230609,210000,165.4700000
GAZP,60,20230609,220000,165.8700000
GAZP,60,20230609,230000,165.6000000
GAZP,60,20230610,000000,165.5800000
GAZP,60,20230613,110000,166.7500000
GAZP,60,20230613,120000,167.0900000
GAZP,60,20230613,130000,166.6800000
GAZP,60,20230613,140000,166.8900000
GAZP,60,20230613,150000,167.1000000
GAZP,60,20230613,160000,167.8200000
GAZP,60,20230613,170000,167.7300000
GAZP,60,20230613,180000,167.2900000
GAZP,60,20230613,190000,168.0000000
GAZP,60,20230613,200000,167.9000000
GAZP,60,20230613,210000,167.8100000
